word,count
the,1250752
of,631200
and,592144
to,452720
in,342288
a,329760
that,183728
he,183696
was,178544
his,159376
with,153312
is,148992
it,130752
as,125392
had,117088
at,107040
for,106016
by,105344
not,100928
on,99568
be,95312
i,92848
from,89424
or,83792
but,81296
which,73648
her,71456
were,66912
you,64128
they,59328
all,58800
she,58288
this,57488
are,55168
have,54560
an,53744
him,49744
said,47136
their,47120
one,46304
who,44240
when,43696
been,41104
so,40448
may,39616
what,39232
there,37408
if,34368
into,33712
my,33696
would,30576
up,30304
no,29968
more,29280
only,28880
did,28800
prince,27376
out,27008
could,26768
its,26128
we,25488
has,24976
some,23984
after,23312
them,22896
will,22832
such,22112
about,22048
other,21392
should,20384
very,20352
pierre,20176
than,19184
your,19152
now,19072
do,18784
any,18752
those,18640
new,18512
these,18480
over,18368
before,17968
"\"i",17824
how,17680
then,17648
upon,17408
man,17344
old,17296
me,17248
time,17216
first,17104
our,16560
two,16112
without,15792
went,15792
like,15504
same,15472
little,15264
made,15152
under,15104
came,15024
must,14896
down,14784
him.,14768
even,14704
being,14336
most,14160
where,13792
long,13648
men,13376
french,13376
see,13344
still,13248
can,13152
"him,",12752
himself,12704
through,12704
know,12544
face,12112
looked,12000
great,11968
began,11872
princess,11648
thought,11584
just,11584
andrew,11568
left,11552
come,11552
while,11472
whole,11456
shall,11392
own,11248
am,11216
also,10928
natasha,10928
go,10848
seemed,10816
it.,10672
american,10592
felt,10592
having,10496
against,10416
general,10240
between,10224
every,10176
people,9824
asked,9792
part,9744
though,9712
much,9568
again,9520
way,9504
"and,",9504
many,9424
always,9392
take,9312
saw,9264
because,9152
young,9136
something,9088
eyes,9072
took,9040
back,8912
never,8864
states,8800
united,8736
away,8624
heard,8576
another,8496
war,8432
met,8288
state,8288
"\"the",8272
day,8240
usually,8240
might,8176
found,8160
last,8096
say,8048
both,7920
during,7920
turned,7888
give,7872
make,7840
"it,",7840
three,7824
head,7792
army,7776
don't,7744
nothing,7648
life,7552
told,7520
quite,7520
place,7472
off,7440
round,7408
once,7392
hand,7360
"of,",7360
good,7360
rostov,7344
chapter,7328
small,7328
right,7328
knew,7312
already,7296
us,7280
count,7280
look,7280
whom,7248
tell,7232
get,7184
think,7184
large,7184
few,7168
suddenly,7136
room,7088
among,7056
looking,7040
"\"and",6992
gave,6976
well,6960
often,6912
government,6896
mary,6864
let,6832
form,6800
"\"you",6768
yet,6736
put,6720
russian,6608
taken,6576
disease,6576
sometimes,6528
become,6480
moscow,6480
years,6448
soon,6416
"\"but",6400
each,6336
house,6320
sat,6304
brought,6288
called,6256
why,6160
seen,6128
nicholas,6080
power,6048
along,6048
especially,6048
love,6000
emperor,5984
far,5952
several,5920
=the,5904
her.,5872
blood,5872
stood,5856
evidently,5856
too,5824
end,5824
napoleon,5824
side,5824
them.,5792
bone,5776
"however,",5776
skin,5744
cases,5712
less,5712
"\"what",5648
result,5616
"\"yes,",5600
behind,5600
here,5584
known,5536
free,5504
whether,5424
certain,5408
given,5408
does,5360
passed,5344
moment,5344
toward,5296
done,5264
"\"well,",5264
kutuzov,5232
mr.,5232
feeling,5136
everything,5088
case,5088
almost,5088
going,5056
days,5040
|,5024
tissue,5008
until,5008
congress,4992
countess,4976
patient,4960
became,4928
order,4928
pp.,4912
sent,4912
ran,4912
set,4864
words,4848
white,4848
followed,4848
battle,4784
within,4736
position,4736
taking,4720
dear,4672
front,4656
anna,4640
"her,",4640
officer,4624
condition,4592
understand,4576
"said,",4560
use,4544
find,4528
it's,4480
"\"it",4480
cause,4448
lay,4448
carried,4448
"you,",4448
"\"",4448
above,4432
near,4416
door,4400
want,4400
anything,4400
[illustration:,4400
course,4384
hands,4384
got,4352
nor,4352
number,4352
held,4352
soldiers,4304
"them,",4256
"pierre,",4240
replied,4192
common,4192
cannot,4176
either,4176
project,4144
next,4128
necessary,4128
public,4128
chief,4112
leave,4096
national,4096
"me,",4080
others,4080
history,4080
british,4080
work,4080
movement,4048
received,4032
expression,4032
full,4000
room.,4000
used,3968
father,3968
kept,3952
half,3952
second,3936
infection,3936
since,3936
political,3920
troops,3904
important,3888
early,3872
action,3856
fact,3840
becomes,3840
different,3840
question,3840
things,3824
president,3824
voice,3808
act,3776
sitting,3776
country,3776
due,3744
high,3744
around,3744
best,3728
open,3728
later,3712
herself,3712
talk,3712
matter,3712
commander,3712
"\"oh,",3680
"he,",3680
four,3664
treatment,3664
labor,3664
"man,",3616
present,3600
drawing,3600
entered,3584
moved,3568
thousand,3568
hundred,3552
five,3552
means,3536
sonya,3536
forms,3520
"time,",3520
wound,3520
pierre.,3504
rode,3504
smile,3504
letter,3488
thing,3488
law,3488
rise,3472
really,3472
"then,",3472
beside,3472
wish,3440
ask,3440
word,3440
possible,3424
women,3424
better,3424
rather,3408
military,3408
mind,3408
beyond,3392
"\"no,",3392
joint,3376
denisov,3376
alone,3376
_the,3360
remained,3360
frequently,3360
parts,3344
tried,3344
body,3344
speak,3344
till,3344
officers,3344
continued,3312
money,3312
"example,",3312
ever,3312
themselves,3296
wished,3280
turning,3264
"natasha,",3264
business,3264
close,3248
holmes,3232
reached,3232
formation,3232
"now,",3232
across,3232
world,3232
cried,3232
longer,3216
understood,3216
making,3216
"that,",3200
show,3200
following,3200
third,3200
help,3184
spoke,3184
"face,",3184
shouted,3168
ten,3152
that's,3152
party,3136
seeing,3136
everyone,3104
led,3104
south,3104
light,3088
able,3088
rose,3088
thus,3072
"hand,",3056
tuberculous,3056
clear,3056
land,3056
"is,",3056
merely,3024
itself,3024
associated,3024
horse,2992
southern,2992
raised,2976
name,2976
giving,2976
morning,2976
"andrew,",2976
sound,2976
standing,2960
can't,2960
fig.,2960
process,2944
"room,",2944
formed,2928
gone,2928
black,2928
dolokhov,2912
read,2912
force,2912
home,2912
wanted,2912
west,2896
lower,2896
opened,2896
strange,2896
"eyes,",2880
year,2880
cold,2880
deep,2880
results,2880
federal,2864
nerve,2864
english,2864
line,2864
night,2848
laid,2848
spread,2848
coming,2848
"\"he",2832
trying,2832
pain,2832
noticed,2832
growth,2816
death,2816
whose,2816
conditions,2816
answered,2800
glanced,2800
lymph,2800
tissues,2800
news,2784
he.,2784
nearly,2784
"up,",2784
presence,2784
cut,2784
wife,2768
surface,2768
foreign,2768
king,2768
call,2768
placed,2768
applied,2752
woman,2752
civil,2752
former,2736
talking,2736
middle,2736
hardly,2736
returned,2736
times,2720
laws,2720
ready,2704
local,2688
appeared,2688
vasili,2688
eyes.,2672
single,2672
"life,",2672
i'll,2656
"himself,",2656
red,2656
arms,2656
england,2656
son,2656
pierre's,2656
considerable,2656
wounded,2640
particularly,2640
petya,2640
happy,2640
"\"that",2624
evening,2624
terrible,2624
short,2624
grew,2608
de,2608
meet,2608
least,2608
"in,",2608
neither,2592
according,2592
crowd,2592
"men,",2592
field,2576
hear,2560
enemy,2560
point,2560
me.,2560
boris,2560
stopped,2560
bring,2544
forward,2544
impossible,2544
added,2544
lost,2528
republican,2528
occur,2512
"war,",2512
constitution,2512
saying,2512
"states,",2512
orders,2512
fell,2512
believe,2512
horses,2512
human,2496
interest,2496
except,2480
return,2480
colonial,2480
repeated,2464
pressure,2464
"rostov,",2464
together,2464
trade,2464
face.,2448
turn,2448
severe,2448
"\"how",2448
"well,",2432
special,2432
drew,2432
"\"a",2432
fire,2432
you.,2416
past,2416
arm,2416
bones,2416
north,2416
account,2400
"yes,",2400
immediately,2400
feel,2400
covered,2384
takes,2384
mother,2384
perhaps,2384
rapidly,2384
although,2384
various,2384
table,2368
"\"if",2368
period,2368
union,2368
system,2352
german,2352
opinion,2352
effect,2352
affected,2352
speaking,2336
person,2336
glands,2336
won't,2336
seat,2320
answer,2320
heart,2320
showed,2320
unable,2304
need,2304
holding,2288
"moscow,",2288
six,2288
strong,2288
liable,2272
"\"we",2272
changes,2272
"another,",2272
anyone,2256
considered,2256
steps,2256
soft,2256
attention,2256
anatole,2256
members,2256
strength,2256
"all,",2256
subject,2240
st.,2240
natasha.,2240
hair,2240
reason,2240
fresh,2240
road,2240
tumour,2240
"army,",2240
growing,2224
hand.,2224
"bone,",2224
petersburg,2224
symptoms,2224
america,2208
afraid,2208
myself,2208
mademoiselle,2208
greater,2208
peace,2208
said.,2208
waiting,2208
himself.,2208
lesions,2192
opening,2192
happened,2192
usual,2192
soldier,2192
fixed,2192
vessels,2192
keep,2192
time.,2176
remain,2176
"there,",2176
view,2176
probably,2176
quickly,2176
ordered,2176
consists,2160
events,2160
listened,2160
rest,2160
god,2160
therefore,2160
acute,2160
wrote,2144
doing,2144
hard,2144
closed,2144
"who,",2144
air,2144
prevent,2128
struck,2128
(fig.,2128
life.,2128
regiment,2128
conversation,2112
chiefly,2112
relation,2112
decided,2112
"tissue,",2112
running,2112
"on,",2096
loss,2096
fine,2080
measures,2080
primary,2080
limb,2064
spirit,2064
kind,2064
natural,2064
up.,2064
attended,2064
run,2064
operation,2048
instead,2048
dark,2048
"day,",2048
abscess,2048
moving,2048
"know,",2048
declared,2048
muscles,2032
heavy,2032
forces,2032
expressed,2016
friend,2016
difficult,2016
swelling,2016
enough,2016
smile.,2016
further,2016
drawn,2016
popular,2000
colonies,2000
upper,2000
direct,2000
"\"my",2000
similar,2000
finally,2000
secondary,2000
described,2000
lead,2000
man's,2000
change,2000
dead,2000
paper,1984
"which,",1984
"holmes,",1984
true,1984
attack,1968
prepared,1968
nature,1968
john,1968
"\"ah,",1968
family,1952
slavery,1952
resulting,1952
appear,1952
twenty,1952
village,1952
term,1952
passing,1936
terms,1936
"\"it's",1936
"\"why",1936
children,1936
gutenberg-tm,1920
serious,1920
occurs,1920
beginning,1920
someone,1920
pass,1920
hope,1904
leaving,1904
marked,1904
pressed,1904
freedom,1904
"this,",1904
tumours,1888
relations,1888
fear,1888
complete,1888
"way,",1872
tears,1872
kissed,1872
spite,1872
york,1872
thinking,1872
doubt,1856
"\"to",1856
clearly,1856
asked.,1856
removed,1856
questions,1856
andrew.,1856
service,1856
area,1840
campaign,1840
produced,1840
court,1840
"one,",1840
rushed,1824
portion,1824
"out,",1824
drove,1824
increase,1824
affairs,1824
explain,1808
natasha's,1808
wall,1808
presented,1808
glad,1808
"french,",1808
away.,1808
frightened,1808
seems,1808
feet,1808
"again,",1808
increased,1808
powers,1808
tone,1808
filled,1792
rights,1792
causes,1792
asking,1792
faces,1792
leading,1792
loved,1792
idea,1792
artery,1792
low,1776
seven,1776
influence,1776
ought,1776
wounds,1776
plan,1776
seized,1776
command,1776
pay,1776
straight,1776
remembered,1760
shown,1760
group,1760
remember,1760
city,1760
broken,1760
voices,1760
another.,1760
thin,1760
employed,1760
individual,1760
size,1760
remarked,1760
observed,1744
"head,",1744
"count,",1744
royal,1744
door.,1744
convention,1744
"nicholas,",1744
smiling,1744
direction,1744
"away,",1728
"say,",1728
states.,1728
western,1728
living,1728
marya,1712
smiled,1712
george,1712
"house,",1712
seem,1712
changed,1712
pus,1696
"place,",1696
else,1696
spent,1696
head.,1696
method,1696
vessel,1696
cancer,1696
foot,1696
produce,1696
poor,1696
save,1696
fall,1696
"skin,",1696
voice.,1696
slight,1696
adjutant,1680
majority,1680
sight,1680
bad,1680
republicans,1680
"was,",1680
regarded,1680
hold,1680
angry,1664
meeting,1664
slowly,1664
town,1664
tendon,1664
historians,1664
easily,1664
written,1664
sure,1648
main,1648
emperor's,1648
divided,1648
water,1648
latter,1648
late,1648
subcutaneous,1648
firm,1648
russians,1648
hour,1648
occupied,1648
so.,1648
lying,1648
"\"there",1648
showing,1632
"mary,",1632
dressing,1632
live,1632
follow,1632
"right,",1632
expected,1632
girl,1616
revolution,1616
lines,1616
"not,",1616
father's,1616
bed,1616
blue,1616
caused,1616
surrounded,1600
"before,",1600
ordinary,1600
friends,1600
capital,1600
nation,1600
paid,1600
carry,1600
sherlock,1600
company,1600
says,1600
meaning,1600
appears,1584
surrounding,1584
galloped,1584
man.,1584
"sonya,",1584
section,1584
on.,1584
child,1584
honor,1584
corner,1584
fibrous,1584
advanced,1584
killed,1584
control,1568
sides,1568
window,1568
effort,1568
"voice,",1568
alexander,1568
moscow.,1568
"disease,",1568
there.,1568
appearance,1568
staff,1552
equal,1552
pyogenic,1552
diseases,1552
"too,",1552
again.,1552
persons,1552
miss,1552
whatever,1552
minutes,1552
dinner,1552
avoid,1552
lived,1552
husband,1552
connection,1552
european,1552
glancing,1552
simple,1552
character,1536
"\"they",1536
ulcer,1536
threw,1536
dry,1536
pale,1536
talked,1536
hours,1536
"so,",1536
duty,1536
step,1536
easy,1536
larger,1536
aid,1536
evident,1536
pleasure,1520
meant,1520
ground,1520
aneurysm,1520
real,1520
neck,1520
fellow,1520
"no,",1520
features,1520
"you,\"",1520
mucous,1504
everybody,1504
bent,1504
day.,1504
silver,1504
removal,1504
synovial,1504
send,1504
all.,1504
lady,1504
napoleon's,1504
knowing,1504
"\"is",1504
adjacent,1488
articular,1488
yourself,1488
gazed,1488
"people,",1488
study,1488
interrupted,1488
coat,1488
certainly,1488
france,1488
established,1488
enter,1488
washington,1488
"\"do",1488
readily,1488
andrew's,1488
soul,1488
sign,1488
out.,1488
doctor,1488
walked,1488
sense,1472
way.,1472
"it?\"",1472
leaders,1472
receive,1472
getting,1472
handsome,1472
economic,1472
thrown,1472
bound,1472
brother,1472
east,1472
external,1472
"added,",1456
lips,1456
learned,1456
gangrene,1456
suppuration,1456
o,1456
colonel,1456
knows,1456
haemorrhage,1456
northern,1456
miles,1456
carriage,1456
smoke,1456
"denisov,",1440
"it.\"",1440
occurred,1440
mouth,1440
please,1440
region,1440
signs,1440
house.,1440
break,1440
activity,1440
reply,1440
property,1440
ends,1440
war.,1440
unless,1440
destruction,1440
i'm,1440
gutenberg,1440
eight,1424
future,1424
story,1424
despite,1424
"government,",1424
membrane,1424
private,1424
cry,1424
experienced,1424
efforts,1408
outside,1408
infected,1408
manner,1408
composed,1408
series,1408
broke,1408
personal,1408
thousands,1408
helene,1408
purpose,1392
daughter,1392
he's,1392
movements,1392
original,1392
bridge,1392
support,1392
care,1392
consider,1392
closely,1392
proposed,1392
matters,1392
development,1392
fingers,1392
treaty,1392
society,1392
directly,1392
quiet,1392
uniform,1392
continually,1376
vote,1376
"us,",1376
"down,",1376
industrial,1376
regard,1376
"officer,",1376
aim,1376
amount,1376
gives,1376
solution,1376
caught,1376
superficial,1376
pointing,1376
huge,1376
offered,1376
settled,1360
none,1360
shouting,1360
difficulty,1360
per,1360
comes,1360
clinical,1360
organisms,1360
2.,1360
carrying,1360
rarely,1360
muscle,1360
"door,",1360
syphilitic,1360
exclaimed,1344
"\"this",1344
alpatych,1344
desire,1344
constitutional,1344
source,1344
amid,1344
bagration,1344
rostov.,1344
gold,1344
pointed,1344
cells,1344
treated,1344
election,1344
interests,1344
generally,1344
chair,1344
accompanied,1344
possibility,1344
division,1344
hearing,1344
believed,1344
gradually,1328
extent,1328
characteristic,1328
official,1328
varieties,1328
weeks,1328
chronic,1328
occasionally,1328
veins,1328
express,1328
experience,1328
allowed,1328
including,1328
value,1328
wearing,1328
thoughts,1328
entirely,1312
reading,1312
mass,1312
"napoleon,",1312
administration,1312
object,1312
sought,1312
"father,",1312
"you.\"",1312
farther,1312
"me,\"",1312
contrary,1312
independence,1312
1.,1312
distance,1312
farmers,1312
policy,1312
boy,1296
pushed,1296
leg,1296
towards,1296
active,1296
church,1296
directed,1296
governor,1296
peasants,1296
higher,1296
months,1296
joints,1296
plain,1280
particular,1280
spoken,1280
"\"so",1280
citizens,1280
dress,1280
notice,1280
injury,1280
listening,1280
"general,",1280
appointed,1280
pleased,1280
chance,1280
beautiful,1280
highest,1264
progress,1264
holmes.,1264
before.,1264
pleasant,1264
letters,1264
allow,1264
destroyed,1264
silent,1264
europe,1264
figure,1264
internal,1264
grown,1264
mary.,1264
"\"that's",1264
simply,1264
virginia,1264
besides,1264
arrived,1264
guns,1264
victory,1264
"state,",1264
march,1264
started,1264
absence,1264
surprised,1248
becoming,1248
office,1248
sit,1248
peculiar,1248
normal,1248
people.,1248
thought.,1248
"hands,",1248
bald,1248
"thought,",1248
tariff,1248
escape,1248
tendency,1248
loose,1248
provided,1248
democratic,1248
issue,1248
"oh,",1248
sounds,1248
russia,1248
prove,1248
"congress,",1248
measure,1248
slightly,1232
essential,1232
temperature,1232
suffering,1232
country.,1232
eye,1232
convinced,1232
"princess,",1232
note,1232
happiness,1232
legs,1232
danger,1232
"countess,",1232
looks,1232
lesion,1232
senate,1232
"\"then",1216
required,1216
reach,1216
move,1216
seldom,1216
completely,1216
aside,1216
"soldiers,",1216
vol.,1216
"here,",1216
silence,1216
conception,1216
fate,1216
prisoners,1216
kutuzov's,1216
bright,1216
begun,1200
"years,",1200
hot,1200
immense,1200
generals,1200
"morning,",1200
brilliant,1200
territory,1200
lie,1200
lord,1200
marry,1200
begin,1200
event,1200
"pain,",1200
granulation,1200
"be,",1184
lies,1184
opposition,1184
engaged,1184
throughout,1184
below,1184
place.,1184
attempt,1184
sudden,1184
twice,1184
dressed,1184
equally,1184
forced,1184
glance,1184
try,1184
promised,1184
imagine,1184
authority,1184
accepted,1184
importance,1184
street,1184
3.,1168
forget,1168
stand,1168
injuries,1168
healing,1168
"but,",1168
write,1168
"it,\"",1168
finished,1168
domestic,1168
putting,1168
"\"your",1168
affair,1168
nearer,1168
addressing,1168
mainly,1168
rapid,1168
likely,1168
greatest,1152
mikhaylovna,1152
frenchman,1152
forth,1152
apart,1152
obtained,1152
"off,",1152
crossed,1152
nerves,1152
one.,1152
social,1152
drive,1152
papers,1152
there's,1152
mere,1152
army.,1152
sort,1152
sorry,1152
rising,1152
inflammation,1152
telling,1152
play,1152
bone.,1152
"back,",1152
"i,",1152
"prince,",1152
cavity,1152
approached,1136
joined,1136
rich,1136
necessity,1136
definite,1136
beneath,1136
bolkonski,1136
captain,1136
"see,",1136
whispered,1136
hands.,1136
introduced,1136
balashev,1136
suffrage,1136
fight,1136
"wife,",1136
recognized,1136
lifted,1136
familiar,1136
limited,1136
james,1136
rostopchin,1136
book,1136
